can_nam,year,label,can_par_aff,can_inc_cha_ope_sea,dem_per,gop_per,ind_con,tot_con,tot_rec,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,tot_rec_final,cov_sta,cov_end
"Cox, David",2014,FL-6,DEM,CHALLENGER,37.5,62.5,7669.0,7669.0,16919.0,17697.02,3349.0,2570.98,38479.21,2014-04-01 00:00:00,2014-06-30 00:00:00
"Beaven, Heather M",2012,FL-6,DEM,CHALLENGER,42.8,57.2,68557.58,91057.58,91057.58,57740.39,14250.0,47567.19,281008.53,2012-04-01 00:00:00,2012-06-30 00:00:00
"Desantis, Ronald D",2012,FL-6,REP,CHALLENGER,42.8,57.2,170182.0,187182.0,187182.0,85282.2,218802.73,320702.53,1155958.58,2012-04-01 00:00:00,2012-06-30 00:00:00
"Desantis, Ronald D",2014,FL-6,REP,INCUMBENT,37.5,62.5,94936.12,146696.12,146696.12,56090.06,652673.74,743279.8,1111122.11,2014-04-01 00:00:00,2014-06-30 00:00:00
"Neuman, Wesley Ryan",2014,FL-7,DEM,CHALLENGER,32.1,63.6,7376.38,7376.38,29516.0,28664.31,4102.09,4953.78,53680.61,2014-04-01 00:00:00,2014-06-30 00:00:00
"Mica, John L. Mr.",2014,FL-7,REP,INCUMBENT,32.1,63.6,44490.0,91490.0,91503.03,36521.58,506595.66,561577.11,851622.29,2014-04-01 00:00:00,2014-06-30 00:00:00
"Roberts, Shannon",2012,FL-8,DEM,CHALLENGER,37.5,58.9,2226.83,2226.83,2365.83,1623.45,1254.94,1997.32,27534.04,2012-04-01 00:00:00,2012-06-30 00:00:00
"Rothblatt, Gabriel",2014,FL-8,DEM,CHALLENGER,34.1,65.9,8415.04,9415.04,9494.2,13211.44,8101.7,4384.46,110316.25,2014-04-01 00:00:00,2014-06-30 00:00:00
"Posey, Bill",2014,FL-8,REP,INCUMBENT,34.1,65.9,121857.0,176999.2,177424.52,93013.99,522559.48,606970.01,1131537.55,2014-04-01 00:00:00,2014-06-30 00:00:00
"Posey, Bill",2012,FL-8,REP,INCUMBENT,37.5,58.9,74181.0,140681.0,140945.34,77413.67,523317.12,586848.79,1051651.68,2012-04-01 00:00:00,2012-06-30 00:00:00
"Long, William Todd",2012,FL-9,REP,CHALLENGER,62.5,37.5,23456.54,23456.54,29456.54,20792.59,755.01,9418.96,147112.11,2012-04-01 00:00:00,2012-06-30 00:00:00
"Platt, Carol",2014,FL-9,REP,CHALLENGER,54.0,43.1,36701.65,53098.28,53098.93,71381.38,34530.49,16248.04,441127.0,2014-04-01 00:00:00,2014-06-30 00:00:00
"Grayson, Alan Mark",2014,FL-9,DEM,INCUMBENT,54.0,43.1,429798.13,495798.13,495818.48,387686.51,380527.35,488659.32,3405575.83,2014-04-01 00:00:00,2014-06-30 00:00:00
"Grayson, Alan Mark",2012,FL-9,DEM,CHALLENGER,62.5,37.5,588369.37,605246.6,825653.16,484942.24,826467.62,1167178.54,5394199.71,2012-04-01 00:00:00,2012-06-30 00:00:00
"Anderson, Lee I",2012,GA-12,REP,CHALLENGER,53.7,46.3,113707.33,119357.33,297361.33,89339.99,47801.09,255822.43,1306198.99,2012-04-01 00:00:00,2012-06-30 00:00:00
"Allen, Richard W",2014,GA-12,REP,CHALLENGER,45.2,54.8,153330.0,323591.51,402801.61,368635.17,191401.01,225567.45,3133471.31,2014-05-01 00:00:00,2014-06-30 00:00:00
"Barrow, John J.",2012,GA-12,DEM,INCUMBENT,53.7,46.3,169291.65,406745.47,406769.19,96168.6,1044339.94,1354940.53,2876917.75,2012-04-01 00:00:00,2012-06-30 00:00:00
"Barrow, John J.",2014,GA-12,DEM,INCUMBENT,45.2,54.8,190982.76,465814.2,465837.93,108587.95,1514163.67,1871413.65,3550177.63,2014-05-01 00:00:00,2014-06-30 00:00:00
"Duke, Gregory Paul",2014,GA-2,REP,CHALLENGER,59.1,40.9,1029.0,1279.0,1279.0,1199.99,1762.92,1841.93,16804.0,2014-05-01 00:00:00,2014-06-30 00:00:00
"House, John M",2012,GA-2,REP,CHALLENGER,63.7,36.3,34217.45,34217.45,39554.5,41140.7,11715.94,10129.74,169482.39,2012-04-01 00:00:00,2012-06-30 00:00:00
"Bishop, Sanford D Jr",2012,GA-2,DEM,INCUMBENT,63.7,36.3,65030.0,160780.0,160780.0,161744.99,303471.42,302506.43,1290956.0,2012-04-01 00:00:00,2012-06-30 00:00:00
"Bishop, Sanford D Jr",2014,GA-2,DEM,INCUMBENT,59.1,40.9,18100.0,99800.0,99800.0,109592.39,319954.18,310161.79,1226049.07,2014-05-01 00:00:00,2014-06-30 00:00:00
"Vaughn, Jeffery Chris",2012,GA-4,REP,CHALLENGER,73.6,26.4,17756.4,17756.4,17756.4,7281.35,0.0,10475.05,44102.4,2011-10-01 00:00:00,2012-06-30 00:00:00
"Johnson, Henry C 'Hank'",2012,GA-4,DEM,INCUMBENT,73.6,26.4,15175.0,76175.0,76175.0,70710.86,37278.73,42742.87,448223.02,2012-04-01 00:00:00,2012-06-30 00:00:00
"Reilly, Steven M",2012,GA-7,DEM,CHALLENGER,37.8,62.2,7331.0,12833.0,12833.0,9245.0,0.0,3587.0,32926.0,2012-04-01 00:00:00,2012-06-30 00:00:00
"Wight, Thomas Dee",2014,GA-7,DEM,CHALLENGER,34.5,65.5,240.0,240.0,240.0,7043.0,13013.0,6018.0,19569.0,2014-04-01 00:00:00,2014-06-30 00:00:00
"Woodall, Rob Rep.",2014,GA-7,REP,INCUMBENT,34.5,65.5,10050.0,21050.0,21396.18,78259.62,75205.08,18341.64,494448.88,2014-05-01 00:00:00,2014-06-30 00:00:00
"Woodall, Rob",2012,GA-7,UNK,INCUMBENT,37.8,62.2,44347.01,57347.01,58922.01,87648.48,164208.9,135482.43,407300.43,2012-04-01 00:00:00,2012-06-30 00:00:00
"Cooley, Joseph Dillard Iii (Jody)",2012,GA-9,DEM,CHALLENGER,23.8,76.2,4122.0,4222.0,9442.0,6061.13,0.0,3380.87,76245.34,2012-04-01 00:00:00,2012-06-30 00:00:00
"Vogel, David Donald",2014,GA-9,DEM,CHALLENGER,19.3,80.7,1146.4,1478.4,1478.4,4677.77,6866.05,3666.68,28898.36,2014-04-01 00:00:00,2014-06-30 00:00:00
"Collins, Douglas Allen",2012,GA-9,REP,CHALLENGER,23.8,76.2,67785.16,81685.16,81685.16,142819.09,142849.64,81715.71,780886.95,2012-04-01 00:00:00,2012-06-30 00:00:00
"Collins, Douglas Allen",2014,GA-9,REP,INCUMBENT,19.3,80.7,30892.0,63745.25,63855.56,97221.87,384024.4,350658.09,848530.66,2014-05-01 00:00:00,2014-06-30 00:00:00
"Djou, Charles K",2014,HI-1,REP,OPEN,51.9,48.1,416302.97,436902.97,437188.97,35728.61,0.0,401460.36,1065057.79,2014-04-01 00:00:00,2014-06-30 00:00:00
"Takai, Kyle Mark",2014,HI-1,DEM,OPEN,51.9,48.1,192378.58,211376.96,211746.32,179679.35,322026.44,354093.41,1884000.15,2014-04-01 00:00:00,2014-06-30 00:00:00
"Djou, Charles K",2012,HI-1,REP,CHALLENGER,54.6,45.4,118670.0,139170.0,139170.0,21763.28,387246.43,504653.15,693739.93,2012-04-01 00:00:00,2012-06-30 00:00:00
"Hanabusa, Colleen Wakako",2012,HI-1,DEM,INCUMBENT,54.6,45.4,111170.14,187674.93,187674.93,117021.36,428471.91,499125.48,1439038.46,2012-04-01 00:00:00,2012-06-30 00:00:00
"Murphy, Patrick Joseph",2014,IA-1,DEM,OPEN,48.8,51.2,93734.53,239306.03,239306.03,175604.76,67037.56,130738.83,1418164.97,2014-05-15 00:00:00,2014-06-30 00:00:00
"Lange, Ben",2012,IA-1,REP,CHALLENGER,56.9,41.7,113738.09,131238.09,131238.09,49966.35,168661.24,249932.98,1079677.28,2012-05-17 00:00:00,2012-06-30 00:00:00
"Blum, Rodney Leland",2014,IA-1,REP,OPEN,48.8,51.2,120663.1,150211.79,150211.79,57220.13,168725.67,261717.33,1080510.06,2014-05-15 00:00:00,2014-06-30 00:00:00
"Braley, Bruce L",2012,IA-1,DEM,INCUMBENT,56.9,41.7,194170.75,323172.57,342675.48,51407.16,804117.99,1095386.31,2687007.57,2012-05-17 00:00:00,2012-06-30 00:00:00
"Archer, John Henry",2012,IA-2,REP,CHALLENGER,55.4,42.5,106220.85,116220.85,116220.85,114518.21,61854.39,63557.03,967708.31,2012-05-17 00:00:00,2012-06-30 00:00:00
"Miller-Meeks, Mariannette Jane",2014,IA-2,REP,CHALLENGER,52.5,47.5,140855.0,166136.66,166136.66,53172.76,160414.11,273378.01,940287.64,2014-05-15 00:00:00,2014-06-30 00:00:00
"Loebsack, David Wayne",2014,IA-2,DEM,INCUMBENT,52.5,47.5,75650.78,153150.78,153150.78,60917.2,617188.17,709421.75,1733368.07,2014-05-15 00:00:00,2014-06-30 00:00:00
"Loebsack, David Wayne",2012,IA-2,DEM,INCUMBENT,55.4,42.5,52188.61,152388.61,152388.61,51526.34,700326.39,801188.66,1562539.88,2012-05-17 00:00:00,2012-06-30 00:00:00
"Young, David",2014,IA-3,REP,OPEN,42.3,52.9,68220.0,120049.72,122546.32,97342.76,62363.83,87567.39,1998189.88,2014-06-02 00:00:00,2014-06-30 00:00:00
"Boswell, Leonard L.",2012,IA-3,DEM,INCUMBENT,43.6,52.3,111297.69,202797.69,202836.59,37113.36,307826.68,473549.91,1747775.66,2012-05-17 00:00:00,2012-06-30 00:00:00
"Appel, Staci",2014,IA-3,DEM,OPEN,42.3,52.9,190921.86,317201.86,320656.02,63822.65,474408.87,731242.24,2247806.89,2014-05-15 00:00:00,2014-06-30 00:00:00
"Latham, Thomas",2012,IA-3,REP,INCUMBENT,43.6,52.3,148615.97,347865.97,356616.93,189116.92,1978080.63,2145580.64,3412780.12,2012-05-17 00:00:00,2012-06-30 00:00:00
"King, Steve Mr.",2014,IA-4,REP,INCUMBENT,38.3,61.7,234947.48,325247.48,325358.56,106216.62,223530.98,442672.92,2000377.86,2014-05-15 00:00:00,2014-06-30 00:00:00
"Mowrer, Jim",2014,IA-4,DEM,CHALLENGER,38.3,61.7,216383.04,270798.8,270798.8,71210.15,514945.87,714534.52,2172730.89,2014-05-15 00:00:00,2014-06-30 00:00:00
"Vilsack, Christie",2012,IA-4,DEM,CHALLENGER,44.6,53.2,217795.7,285145.7,285258.98,327719.22,888665.25,846205.01,3359507.01,2012-05-17 00:00:00,2012-06-30 00:00:00
"King, Steve Mr.",2012,IA-4,REP,INCUMBENT,44.6,53.2,402118.65,475418.65,476590.8,243594.0,1033164.92,1266161.72,3753859.7,2012-05-17 00:00:00,2012-06-30 00:00:00
"Farris, James R (Jimmy)",2012,ID-1,DEM,CHALLENGER,30.8,63.0,6399.0,9899.0,9899.0,8762.13,7168.89,8305.76,82924.24,2012-04-26 00:00:00,2012-06-30 00:00:00
"Ringo, Shirley G",2014,ID-1,DEM,CHALLENGER,35.0,65.0,40837.56,42837.56,42837.56,37785.9,8825.22,13876.88,225143.94,2014-05-01 00:00:00,2014-06-30 00:00:00
"Labrador, Raul",2012,ID-1,REP,INCUMBENT,30.8,63.0,37281.25,72281.25,74448.81,66292.99,194791.45,202947.27,830195.57,2012-04-26 00:00:00,2012-06-30 00:00:00
"Labrador, Raul R. Rep.",2014,ID-1,REP,INCUMBENT,35.0,65.0,29045.0,48145.0,48355.94,61073.34,429238.98,416521.58,544737.29,2014-05-01 00:00:00,2014-06-30 00:00:00
"Stallings, Richard ",2014,ID-2,DEM,CHALLENGER,38.6,61.4,20115.0,20115.0,20115.0,14082.0,6658.0,12690.0,116006.05,2014-05-01 00:00:00,2014-06-30 00:00:00
"Lefavour, Nicole",2012,ID-2,DEM,CHALLENGER,34.8,65.2,85394.82,88064.82,88064.82,28257.68,61134.48,120941.62,350399.48,2012-04-26 00:00:00,2012-06-30 00:00:00
"Simpson, Michael K",2012,ID-2,REP,INCUMBENT,34.8,65.2,77233.0,193734.0,193734.0,201024.0,203993.04,196703.04,1200025.64,2012-04-26 00:00:00,2012-06-30 00:00:00
"Simpson, Michael",2014,ID-2,REP,INCUMBENT,38.6,61.4,148133.57,394568.26,394568.26,692495.77,566209.73,268282.22,2466247.46,2014-05-01 00:00:00,2014-06-30 00:00:00
"Peloquin, Donald",2012,IL-1,REP,CHALLENGER,73.8,26.2,2950.0,2950.0,2950.0,11684.87,15280.57,6545.7,101655.92,2012-04-01 00:00:00,2012-06-30 00:00:00
"Rush, Bobby L",2012,IL-1,DEM,INCUMBENT,73.8,26.2,,35500.0,35500.0,44014.33,36900.77,28386.44,498765.15,2012-04-01 00:00:00,2012-06-30 00:00:00
"Schneider, Bradley Scott",2012,IL-10,DEM,CHALLENGER,50.5,49.5,473623.57,582341.65,582539.69,241115.83,226199.51,567623.37,3043849.38,2012-04-01 00:00:00,2012-06-30 00:00:00
"Dold, Robert James Jr",2014,IL-10,REP,CHALLENGER,48.4,51.6,461873.11,607173.11,612248.52,244762.24,1285122.12,1652608.4,3732448.13,2014-04-01 00:00:00,2014-06-30 00:00:00
"Schneider, Bradley Scott",2014,IL-10,DEM,CHALLENGER,48.4,51.6,611011.43,800665.13,801568.77,248866.61,1351027.06,1903729.22,4843061.39,2014-04-01 00:00:00,2014-06-30 00:00:00
"Dold, Robert James Mr Jr",2012,IL-10,REP,CHALLENGER,50.5,49.5,489583.97,711083.97,717396.33,213151.69,1631788.73,2136033.37,4569885.11,2012-04-01 00:00:00,2012-06-30 00:00:00
"Senger, Darlene",2014,IL-11,REP,CHALLENGER,53.2,46.8,100170.0,188770.0,193123.75,83897.99,40884.33,150110.09,767591.63,2014-04-01 00:00:00,2014-06-30 00:00:00
"Foster, G. William (Bill)",2012,IL-11,DEM,CHALLENGER,58.1,41.9,397596.74,475407.58,475407.58,199128.65,994097.05,1270375.98,3540707.49,2012-04-01 00:00:00,2012-06-30 00:00:00
"Foster, G. William (Bill)",2014,IL-11,DEM,INCUMBENT,53.2,46.8,225184.59,351401.94,351401.94,143673.41,1184890.45,1392618.98,2871395.85,2014-04-01 00:00:00,2014-06-30 00:00:00
"Biggert, Judy",2012,IL-11,REP,INCUMBENT,58.1,41.9,216360.0,458335.0,462060.65,144294.94,1221282.9,1539048.61,2909765.79,2012-04-01 00:00:00,2012-06-30 00:00:00
"Enyart, William L Jr",2012,IL-12,DEM,OPEN,51.5,42.9,84740.0,177990.0,177990.0,1255.75,0.0,176734.25,1180462.93,2012-06-01 00:00:00,2012-06-30 00:00:00
"Plummer, Jason",2012,IL-12,REP,OPEN,51.5,42.9,116487.12,236737.12,291357.75,130798.5,55860.91,216420.16,1350428.22,2012-04-01 00:00:00,2012-06-30 00:00:00
"Bost, Michael J",2014,IL-12,REP,CHALLENGER,41.6,52.7,154657.29,278197.2,283407.1,136360.35,200618.96,347665.71,1319176.85,2014-04-01 00:00:00,2014-06-30 00:00:00
"Enyart, William L. Jr.",2014,IL-12,DEM,INCUMBENT,41.6,52.7,107077.49,250588.05,250588.05,128117.82,555027.9,677498.13,1993361.18,2014-04-01 00:00:00,2014-06-30 00:00:00
"Davis, Rodney L",2012,IL-13,REP,OPEN,46.2,46.6,241871.17,440841.17,440844.17,11660.06,0.0,429184.11,1400450.64,2012-04-01 00:00:00,2012-06-30 00:00:00
"Gill, David Michael",2012,IL-13,DEM,CHALLENGER,46.2,46.6,192984.29,235484.29,235484.29,52564.96,16486.73,199406.06,1325027.48,2012-04-01 00:00:00,2012-06-30 00:00:00
"Callis, Ann",2014,IL-13,DEM,CHALLENGER,41.3,58.7,241909.66,335495.89,335495.89,132189.06,513897.76,717204.59,1936927.07,2014-04-01 00:00:00,2014-06-30 00:00:00
"Davis, Rodney L",2014,IL-13,REP,INCUMBENT,41.3,58.7,214903.55,554943.7,554978.17,174953.84,951903.74,1331928.07,3491351.2,2014-04-01 00:00:00,2014-06-30 00:00:00
"Anderson, Dennis",2012,IL-14,DEM,CHALLENGER,41.2,58.8,10020.0,10020.0,18020.0,23559.93,10137.96,4598.03,98443.11,2012-04-01 00:00:00,2012-06-30 00:00:00
"Anderson, Dennis",2014,IL-14,DEM,CHALLENGER,34.4,65.6,2975.0,3975.0,3975.0,11423.45,11197.88,3749.43,61664.46,2014-04-01 00:00:00,2014-06-30 00:00:00
"Hultgren, Randy",2012,IL-14,REP,INCUMBENT,41.2,58.8,64597.84,156597.84,165291.14,192039.89,188280.75,161532.0,1362709.72,2012-04-01 00:00:00,2012-06-30 00:00:00
"Hultgren, Randy",2014,IL-14,REP,INCUMBENT,34.4,65.6,29815.61,118065.61,118065.61,91334.24,282955.44,309686.81,1182737.75,2014-04-01 00:00:00,2014-06-30 00:00:00
"Rohl, Wanda",2012,IL-16,DEM,CHALLENGER,38.1,61.9,3627.11,5077.11,5077.11,2095.4,0.0,2981.71,36264.87,2012-04-01 00:00:00,2012-06-30 00:00:00
"Olsen, Randall Wayne",2014,IL-16,DEM,CHALLENGER,29.3,70.7,1860.0,2810.0,3834.9,2766.29,763.69,1832.3,12112.26,2014-04-01 00:00:00,2014-06-30 00:00:00
"Kinzinger, Adam",2012,IL-16,REP,INCUMBENT,38.1,61.9,40864.0,133964.0,134067.35,155212.17,227297.64,206152.82,2034418.97,2012-04-01 00:00:00,2012-06-30 00:00:00
"Kinzinger, Adam",2014,IL-16,REP,INCUMBENT,29.3,70.7,152908.9,296441.01,299799.9,155994.69,414829.4,558634.61,1944119.16,2014-04-01 00:00:00,2014-06-30 00:00:00
"Schilling, Robert T.",2014,IL-17,REP,CHALLENGER,55.2,44.8,118745.26,236445.26,240908.18,72942.73,332115.98,500081.43,1153678.18,2014-04-01 00:00:00,2014-06-30 00:00:00
"Bustos, Cheri",2012,IL-17,DEM,CHALLENGER,53.3,46.7,325716.42,478817.29,478817.29,117872.73,468497.83,829442.39,2212530.1,2012-04-01 00:00:00,2012-06-30 00:00:00
"Schilling, Robert T.",2012,IL-17,REP,CHALLENGER,53.3,46.7,225372.0,348036.15,360889.45,238940.97,823300.72,945249.2,2601501.69,2012-04-01 00:00:00,2012-06-30 00:00:00
"Bustos, Cheri",2014,IL-17,DEM,INCUMBENT,55.2,44.8,295982.02,481174.93,481174.93,127331.08,1121076.38,1474920.23,3199627.94,2014-04-01 00:00:00,2014-06-30 00:00:00
"Miller, Darrel Ervin",2014,IL-18,DEM,CHALLENGER,25.2,74.8,8905.79,11505.79,16505.79,7244.56,0.0,9261.23,25570.79,2013-11-01 00:00:00,2014-06-30 00:00:00
"Schock, Aaron Jon Mr.",2014,IL-18,REP,INCUMBENT,25.2,74.8,126434.81,325934.81,341802.66,173931.37,3205185.87,3373057.16,2726450.13,2014-04-01 00:00:00,2014-06-30 00:00:00
"Wallace, Eric M.",2014,IL-2,REP,CHALLENGER,78.1,21.9,4500.0,4500.0,4500.0,4823.12,1744.88,1421.76,22621.25,2014-04-01 00:00:00,2014-06-30 00:00:00
"Kelly, Robin L.",2014,IL-2,DEM,INCUMBENT,78.1,21.9,47951.8,147716.08,147716.08,85490.41,179266.29,241491.96,1345413.51,2014-04-01 00:00:00,2014-06-30 00:00:00
"Grabowski, Richard L",2012,IL-3,REP,CHALLENGER,68.4,31.6,5040.1,5040.1,5115.1,5042.76,41.59,113.93,13126.5,2011-10-01 00:00:00,2012-06-30 00:00:00
"Brannigan, Sharon M",2014,IL-3,REP,CHALLENGER,64.4,35.6,5000.0,1000.0,1000.0,12350.0,4700.0,2350.0,32060.0,2014-04-16 00:00:00,2014-07-15 00:00:00
"Lipinski, Daniel",2012,IL-3,DEM,INCUMBENT,68.4,31.6,24107.05,99107.05,99938.57,110263.76,836814.83,826489.64,825517.56,2012-04-01 00:00:00,2012-06-30 00:00:00
"Lipinski, Daniel William William",2014,IL-3,DEM,INCUMBENT,64.4,35.6,28355.0,91605.0,91650.45,74760.48,997129.32,1014019.29,874348.64,2014-04-01 00:00:00,2014-06-30 00:00:00
"Coolidge, Leslie Anne",2012,IL-6,DEM,CHALLENGER,40.8,59.2,41770.0,50270.0,52922.64,30046.98,2011.19,24886.85,413376.55,2012-04-01 00:00:00,2012-06-30 00:00:00
"Roskam, Peter",2012,IL-6,REP,INCUMBENT,40.8,59.2,164573.0,382623.0,412531.15,747767.38,1983383.23,1648147.0,3277931.9,2012-04-01 00:00:00,2012-06-30 00:00:00
"Kaifesh, Lawrence Joseph",2014,IL-8,REP,CHALLENGER,55.5,44.5,85968.72,95093.72,95243.72,50950.75,6376.41,50669.38,336232.87,2014-04-01 00:00:00,2014-06-30 00:00:00
"Duckworth, L. Tammy",2012,IL-8,DEM,CHALLENGER,54.7,45.3,680282.09,889040.26,889040.26,360651.93,259974.74,788363.07,5309495.24,2012-04-01 00:00:00,2012-06-30 00:00:00
"Walsh, Joe",2012,IL-8,REP,INCUMBENT,54.7,45.3,256621.04,318121.04,318158.35,202483.76,607150.55,722825.14,2011080.18,2012-04-01 00:00:00,2012-06-30 00:00:00
"Duckworth, L. Tammy",2014,IL-8,DEM,INCUMBENT,55.5,44.5,304887.96,425504.56,432232.66,155297.33,1088252.53,1365187.86,3241320.92,2014-04-01 00:00:00,2014-06-30 00:00:00
"Phelps, Joel Jeffrey",2012,IN-1,REP,CHALLENGER,67.3,32.7,12317.24,12317.24,12317.24,8465.72,1168.41,5019.93,75735.75,2012-04-19 00:00:00,2012-06-30 00:00:00
"Visclosky, Peter J.",2012,IN-1,DEM,INCUMBENT,67.3,32.7,13000.0,114039.26,115289.26,153284.91,512157.01,474161.36,785240.06,2012-04-19 00:00:00,2012-06-30 00:00:00
"Bock, Joseph",2014,IN-2,DEM,CHALLENGER,38.3,58.9,135699.65,199669.65,199669.65,98404.3,176213.85,277479.2,816818.86,2014-04-17 00:00:00,2014-06-30 00:00:00
"Mullen, Brendan B.",2012,IN-2,DEM,OPEN,47.6,49.0,122598.77,242098.77,242098.77,98579.39,431360.67,574880.05,1283258.89,2012-04-19 00:00:00,2012-06-30 00:00:00
"Walorski (Swihart), Jackie",2012,IN-2,REP,OPEN,47.6,49.0,162886.44,306136.44,311218.31,146945.17,558109.52,722382.66,1878410.35,2012-04-19 00:00:00,2012-06-30 00:00:00
"Walorski Swihart, Jackie",2014,IN-2,REP,INCUMBENT,38.3,58.9,154932.05,329682.05,329771.05,135730.53,707159.48,901200.0,2055614.41,2014-04-17 00:00:00,2014-06-30 00:00:00
"Boyd, Kevin Robert",2012,IN-3,DEM,CHALLENGER,32.9,67.1,6757.35,11257.35,11257.35,9845.62,7734.59,9146.32,42278.76,2012-04-19 00:00:00,2012-06-30 00:00:00
"Stutzman, Marlin A",2012,IN-3,REP,INCUMBENT,32.9,67.1,44626.0,123094.79,129442.31,68250.57,213092.91,274284.65,960106.76,2012-04-19 00:00:00,2012-06-30 00:00:00
"Rokita, Theodore Edward",2014,IN-4,REP,INCUMBENT,33.1,66.9,69875.0,145233.2,145440.56,222795.82,1234971.18,1157615.92,1537040.32,2014-04-17 00:00:00,2014-06-30 00:00:00
"Dale, John",2014,IN-4,DEM,CHALLENGER,33.1,66.9,12014.12,12514.12,12514.12,8714.9,0.0,3799.22,55522.72,2014-04-17 00:00:00,2014-06-30 00:00:00
"Reske, Scott Eric",2012,IN-5,DEM,OPEN,37.6,58.4,75527.0,115542.0,115542.0,68084.03,41403.75,88861.72,399589.84,2012-04-19 00:00:00,2012-06-30 00:00:00
"Brooks, Susan Mrs.",2012,IN-5,REP,OPEN,37.6,58.4,177965.8,219715.8,219715.8,387350.11,290987.19,123352.88,1440815.25,2012-04-19 00:00:00,2012-06-30 00:00:00
"May, Carlos Andrew",2012,IN-7,REP,CHALLENGER,62.8,37.2,9810.0,12060.0,12060.0,12078.64,4577.6,4558.96,102208.68,2012-04-19 00:00:00,2012-06-30 00:00:00
"Carson, Andre",2012,IN-7,DEM,INCUMBENT,62.8,37.2,112349.28,205532.53,205632.27,102714.31,386583.87,489501.83,1124041.82,2012-04-19 00:00:00,2012-06-30 00:00:00
"Bucshon, Larry D",2012,IN-8,REP,INCUMBENT,43.1,53.4,100225.0,208784.95,208784.95,88357.48,266423.74,386851.21,1371506.76,2012-04-19 00:00:00,2012-06-30 00:00:00
"Crooks, David L",2012,IN-8,DEM,CHALLENGER,43.1,53.4,100389.03,212750.24,212994.71,68349.25,385545.19,530190.65,1055009.97,2012-04-19 00:00:00,2012-06-30 00:00:00
"Bucshon, Larry D",2014,IN-8,REP,INCUMBENT,35.8,60.3,63940.0,124190.0,124190.0,105210.89,465573.66,484552.77,1125592.56,2014-04-17 00:00:00,2014-06-30 00:00:00
"Spangler, Tom",2014,IN-8,DEM,CHALLENGER,35.8,60.3,3371.6,20871.6,20871.6,7556.18,0.0,13315.42,32778.8,2014-01-01 00:00:00,2014-06-30 00:00:00
"Bailey, Bill",2014,IN-9,DEM,CHALLENGER,33.3,63.1,8585.0,11591.9,20391.9,20395.08,1009.7,1006.52,114584.2,2014-04-17 00:00:00,2014-06-30 00:00:00
"Yoder, Shelli",2012,IN-9,DEM,CHALLENGER,43.7,56.3,81513.67,93213.27,93669.35,45525.19,24856.89,73001.05,446142.17,2012-04-19 00:00:00,2012-06-30 00:00:00
"Young, Todd Christopher",2014,IN-9,REP,INCUMBENT,33.3,63.1,177123.92,310759.1,310759.1,115570.92,695398.75,890586.93,2156588.92,2014-04-17 00:00:00,2014-06-30 00:00:00
"Young, Todd Christopher",2012,IN-9,REP,INCUMBENT,43.7,56.3,216663.09,268513.09,268547.4,71171.88,696578.21,893953.73,1819056.96,2012-04-19 00:00:00,2012-06-30 00:00:00
"Sherow, James Earl",2014,KS-1,DEM,CHALLENGER,32.5,67.5,24788.0,24788.0,24788.0,35374.01,21013.54,10427.53,171851.4,2014-04-01 00:00:00,2014-06-30 00:00:00
"Huelskamp, Timothy A Representa",2014,KS-1,REP,INCUMBENT,32.5,67.5,78449.38,109449.38,109941.62,75371.67,800087.85,834657.8,845472.15,2014-04-01 00:00:00,2014-06-30 00:00:00
"Wakefield, Margie",2014,KS-2,DEM,CHALLENGER,38.5,57.2,115130.39,135380.39,135380.39,104568.11,204952.04,235764.32,783559.58,2014-04-01 00:00:00,2014-06-30 00:00:00
"Jenkins, Lynn",2012,KS-2,REP,INCUMBENT,38.8,57.0,138926.61,348412.12,349985.6,54028.28,1097502.39,1393459.71,1948903.34,2012-04-01 00:00:00,2012-06-30 00:00:00
"Jenkins, Lynn",2014,KS-2,REP,INCUMBENT,38.5,57.2,127506.45,382106.45,383139.38,148559.04,1762261.66,1996842.0,2633523.81,2014-04-01 00:00:00,2014-06-30 00:00:00
"Schlingensiepen, Tobias",2012,KS-2,DEM,CHALLENGER,38.8,57.0,37173.0,37173.0,37173.02,13587.13,0.0,23585.89,215357.3,2012-05-20 00:00:00,2012-06-30 00:00:00
"Kultala, Kelly D",2014,KS-3,DEM,CHALLENGER,39.8,60.2,85813.61,86063.61,86063.61,47272.49,60800.37,99591.49,385817.43,2014-04-01 00:00:00,2014-06-30 00:00:00
"Yoder, Kevin",2014,KS-3,REP,INCUMBENT,39.8,60.2,111611.17,242611.17,242611.17,135289.09,2100892.99,2208215.07,2149036.16,2014-04-01 00:00:00,2014-06-30 00:00:00
"Tillman, Robert Leon",2012,KS-4,DEM,CHALLENGER,31.4,62.5,252.0,252.0,29852.0,2131.3,6340.29,34060.99,65563.9,2012-04-01 00:00:00,2012-06-30 00:00:00
"Pompeo, Michael Richard",2012,KS-4,REP,INCUMBENT,31.4,62.5,138520.02,262020.02,263633.35,67379.34,884052.68,1080306.69,1924284.53,2012-04-01 00:00:00,2012-06-30 00:00:00
"Leach, Ronald Allen",2014,KY-2,DEM,CHALLENGER,30.8,69.2,6380.5,10880.5,22380.5,23114.16,6265.13,5531.47,150743.47,2014-05-01 00:00:00,2014-06-30 00:00:00
